 ,Label,Area,X,Y
648,139.0,5714,447.808,1851.872
649,139.0,5685,272.466,1831.788
650,140.0,3995,93.663,663.883
651,140.0,3198,240.088,1136.179
652,140.0,3907,367.003,1303.885
653,140.0,5072,456.364,1834.236
654,140.0,5481,276.268,1833.805
655,141.0,3840,92.844,696.566
656,141.0,3203,234.396,1157.059
657,141.0,3960,373.558,1294.362
658,141.0,4790,461.288,1813.652
659,141.0,5442,278.524,1834.542
660,142.0,3683,96.583,738.409
661,142.0,3181,227.885,1180.961
662,142.0,4114,384.873,1275.372
663,142.0,4357,464.104,1790.419
664,142.0,5343,285.202,1836.000
665,143.0,3719,99.146,770.546
666,143.0,3212,223.513,1196.417
667,143.0,4086,394.590,1256.492
668,143.0,4686,466.713,1774.791
669,143.0,5368,290.294,1837.506
670,144.0,3749,107.307,814.327
671,144.0,3193,217.926,1213.750
672,144.0,4149,412.221,1224.372
673,144.0,4595,469.963,1749.892
674,144.0,5311,294.652,1839.131
675,145.0,3745,114.407,842.115
676,145.0,3967,427.322,1193.078
677,145.0,3196,213.334,1224.344
678,145.0,4492,470.943,1734.082
679,145.0,5267,297.342,1840.577
680,146.0,3690,121.478,874.939
681,146.0,4264,441.396,1144.549
682,146.0,3193,207.671,1239.331
683,146.0,4413,472.587,1716.638
684,146.0,5382,300.306,1841.891
685,147.0,3683,125.375,896.289
686,147.0,4220,451.011,1102.570
687,147.0,3160,202.448,1257.397
688,147.0,4551,473.645,1706.213
689,147.0,5328,303.687,1842.794
690,148.0,3749,128.703,919.216
691,148.0,4405,454.657,1048.634
692,148.0,3218,192.082,1290.209
693,148.0,4751,474.686,1691.307
694,148.0,5206,310.349,1844.217
695,149.0,3799,128.959,927.488
696,149.0,4278,455.664,1010.091
697,149.0,3181,187.164,1318.370
698,149.0,5020,475.820,1683.839
699,149.0,5092,312.762,1845.703
700,150.0,3908,129.915,935.723
701,150.0,4344,451.985,961.022
702,150.0,3247,181.421,1350.706
703,150.0,5012,476.427,1674.199
704,150.0,5079,313.936,1847.612
705,151.0,3932,131.713,942.709
706,151.0,4144,448.412,919.125
707,151.0,3315,177.674,1371.903
708,151.0,4414,476.041,1669.748
709,151.0,4933,322.000,1850.290
710,152.0,4086,439.593,859.851
711,152.0,3839,133.123,950.920
712,152.0,3287,174.486,1404.554
713,152.0,4460,476.536,1634.918
714,152.0,5146,321.701,1850.421
715,153.0,4053,433.535,816.594
716,153.0,3791,134.494,956.418
717,153.0,3322,172.618,1430.254
718,153.0,4110,473.908,1589.325
719,153.0,5109,324.111,1850.725
720,154.0,4109,422.485,767.491
721,154.0,3809,136.219,962.214
722,154.0,3264,178.756,1468.411
723,154.0,4919,470.382,1554.966
724,154.0,5072,328.170,1852.141
725,155.0,3984,413.197,733.140
726,155.0,3810,136.778,966.111
727,155.0,3270,184.840,1493.794
728,155.0,4636,458.171,1505.384
729,155.0,5021,332.155,1853.503
730,156.0,3972,404.062,695.956
731,156.0,3864,138.098,973.486
732,156.0,5007,443.515,1450.807
733,156.0,3305,194.722,1522.712
734,156.0,4989,335.138,1854.849
735,157.0,4112,398.188,672.999
736,157.0,3830,143.122,988.248
737,157.0,4673,423.505,1400.059
738,157.0,3413,201.791,1540.302
739,157.0,5244,335.727,1855.018
740,158.0,4134,390.694,645.238
741,158.0,3790,157.503,1016.975
742,158.0,4533,396.186,1338.550
743,158.0,3554,210.938,1555.285
744,158.0,5164,347.672,1857.995
745,159.0,4110,385.760,627.340
746,159.0,3784,170.939,1041.823
747,159.0,4295,367.339,1290.401
748,159.0,3632,220.556,1561.046
749,159.0,5228,355.644,1856.787
750,160.0,4042,379.120,606.572
751,160.0,3837,189.494,1072.720
752,160.0,4355,332.174,1230.836
753,160.0,3671,233.988,1566.109
754,160.0,5424,362.552,1853.304
755,161.0,4082,374.908,591.733
756,161.0,3797,202.455,1092.605
757,161.0,4444,302.777,1185.995
758,161.0,3627,242.210,1567.131
759,161.0,5423,368.910,1850.040
760,162.0,4135,371.095,574.119
761,162.0,8481,249.152,1120.193
762,162.0,3515,260.645,1563.540
763,162.0,5429,376.030,1845.865
764,163.0,4172,368.169,563.506
765,163.0,8190,244.309,1104.178
766,163.0,3478,275.368,1553.426
767,163.0,5413,382.388,1842.337
768,164.0,4196,362.616,546.242
769,164.0,4286,251.804,1004.105
770,164.0,3762,244.834,1153.603
771,164.0,3533,296.125,1534.884
772,164.0,5412,390.646,1837.675
773,165.0,4052,358.790,529.410
774,165.0,4242,248.809,952.104
775,165.0,3769,257.859,1164.996
776,165.0,3458,311.932,1514.163
777,165.0,5439,395.758,1834.532
778,166.0,3957,353.381,497.069
